API
33-053-06051
33-053-03472
33-053-02102
33-053-04852

33-105-02721
33-105-02732
33-105-02725
33-105-02722
33-053-06024
33-105-02726
33-105-02731
33-053-06011

Finish
33-053-06055
103° 36' 11.380 W

Finish


Finish
33-053-06022
33-053-05924
33-053-03911

Finish
33-053-06018
33-105-04981
33-105-02728
33-053-06028
33-105-04981
33-053-06231
33-053-05954
33-053-06223
33-053-06019

33-053-90244
33-053-06026
33-053-06232


McKenzie County

33-053-03608

33-053-03943
33-053-06131
33-105-04981
33-053-06021
33-053-04069
33-053-06549
33-053-06029
33-105-02729
33-053-02148
33-053-06225
33-053-06025
33-053-05998
33-105-02730
33-105-02727


McKenzie ND
48°2' 49.420 N
33-105-02723
33-053-06023
33-053-06243
33-053-04981
33-053-06056
103° 36' 11.380 W


McKenzie County
33-053-06012

33-053-06010
33-053-06057
33-053-03944
33-053-06129
33-105-02724
33-053-06030
33-053-05995
33-053-05906
33-053-06755
103° 36' 11.380 W

McKenzie County

Directional Supervision
33-105-02720
33-105-02719


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































